Reference, Value, Footprint, Datasheet, Note, Spice_Netlist_Enabled, Spice_Node_Sequence
Q9,BC546,Housings_TO-92:TO-92-Free-inline-narrow-oval,
Q8,BC556,Housings_TO-92:TO-92-Free-inline-narrow-oval,
Q6,BC556,Housings_TO-92:TO-92-Free-inline-narrow-oval,
Q10,BC546,Housings_TO-92:TO-92-Free-inline-narrow-oval,
Q7,BC546,Housings_TO-92:TO-92-Free-inline-narrow-oval,
Q4,BC546,Housings_TO-92:TO-92-Free-inline-narrow-oval,
Q2,BC546,Housings_TO-92:TO-92-Free-inline-narrow-oval,
Q5,BC556,Housings_TO-92:TO-92-Free-inline-narrow-oval,
Q1,BC556,Housings_TO-92:TO-92-Free-inline-narrow-oval,
Q3,BC556,Housings_TO-92:TO-92-Free-inline-narrow-oval,
C5,10u,Capacitors_ThroughHole:Capacitor5x11RM2.5,
R21,0.22,Resistors_ThroughHole:Resistor_Horizontal_RM20mm,,2W,,
D3,1N4004,Diodes_ThroughHole:Diode_DO-41_SOD81_Horizontal_RM10,,5A,,
D2,1N4004,Diodes_ThroughHole:Diode_DO-41_SOD81_Horizontal_RM10,,5A,,
R20,0.22,Resistors_ThroughHole:Resistor_Horizontal_RM20mm,,2W,,
F2,3A,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,,,N,
F1,3A,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,,,N,
R2,4.7,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
C9,220u,Capacitors_ThroughHole:Capacitor10x25RM2.5,
C7,220u,Capacitors_ThroughHole:Capacitor10x25RM2.5,
R19,33,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R3,20k,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
C2,4.7u,amp:Kemet_4.7u_Polyester,,Polyester,,
C1,270p,Capacitors_ThroughHole:Capacitor7x2.5RM5,
R1,2.2k,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
C3,220u,amp:220u_NP,,NP,,
C4,100p,Capacitors_ThroughHole:Capacitor7x2.5RM5,
R10,820,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R11,20k,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R18,33,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R12,56k,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R16,68,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
XRV1,POT_1K,Potentiometers:Potentiometer_Bourns_3296W_3-8Zoll_Inline_ScrewUp,
R7,6.8k,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R15,1.8k,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R14,4.7k,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R4,47k,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
D1,Z8_2,Diodes_ThroughHole:Diode_DO-41_SOD81_Horizontal_RM10,
R17,22,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R13,330,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R9,470,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R6,470,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R8,470,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R5,470,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
P1,CONN_01X02,amp:Terminal_Block_2_5mm,,,N,
P3,CONN_01X02,amp:Terminal_Block_2_2.5mm,,,N,
P4,CONN_01X01,Pin_Headers:Pin_Header_Straight_1x01,,,N,
P5,CONN_01X01,amp:Screw_Terminal,,,N,
P2,CONN_01X03,amp:Terminal_Block_3_5mm,,,N,
C6,100n,Capacitors_ThroughHole:Capacitor7x2.5RM5,
C8,100n,Capacitors_ThroughHole:Capacitor7x2.5RM5,
Q11,MJE243C,Transistors_TO-220:TO-220_Neutral123_Vertical,,,,2,3,1
Q13,MJL21194C,Transistors_TO-247:TO-247_Vertical_Neutral123,,,,2,1,3
Q12,MJE253C,Transistors_TO-220:TO-220_Neutral123_Vertical,,,,2,3,1
Q14,MJL21193C,Transistors_TO-247:TO-247_Vertical_Neutral123,,,,2,1,3
Q16,BC556,Housings_TO-92:TO-92-Free-inline-narrow-oval,
Q18,BC546,Housings_TO-92:TO-92-Free-inline-narrow-oval,
Q17,BC546,Housings_TO-92:TO-92-Free-inline-narrow-oval,
Q15,BC546,Housings_TO-92:TO-92-Free-inline-narrow-oval,
D10,1N4004,Diodes_ThroughHole:Diode_DO-41_SOD81_Horizontal_RM10,
R27,100,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
